(2:0.9338,((1:0.7038,(3:0.5975,4:0.9334):0.9136):0.7444,(5:1.4500,6:0.8647):2.2276):0.6037,(7:1.4715,8:0.6860):0.8701);
((2:0.8109,(6:1.1824,(1:0.9389,5:1.2690):0.6178):1.6570):0.9734,(3:1.5328,4:0.6503):0.5570,(7:0.9503,8:1.1290):0.7312);
(6:0.6454,((1:0.6566,3:1.2104):0.9685,(2:0.5335,5:1.0886):1.0366):2.0637,(8:0.9573,(4:0.8160,7:0.7590):1.2576):1.0069);
(6:0.9272,((2:0.7645,4:0.9973):0.5032,(1:0.7315,(5:1.1930,8:0.6429):1.8913):1.2217):1.2138,(3:0.5044,7:0.8160):1.5933);
(5:2.5649,(7:0.7401,(4:0.4829,(1:0.9401,8:0.5138):0.5716):0.8728):1.9434,(3:0.4793,(2:0.6256,6:0.7443):1.2286):1.2925);
(4:1.4122,((1:1.0539,3:0.8688):0.9736,(2:0.7163,5:0.7305):0.6773):0.8667,(6:1.1300,(7:1.7738,8:0.9538):0.8184):1.0247);
(4:0.5888,(5:1.7805,(2:0.5720,3:0.8075):0.7299):1.0443,(6:0.8196,(7:1.3256,(1:0.7879,8:0.9368):1.2834):0.8018):1.5217);
(5:0.6231,((1:0.6491,4:1.2624):1.1382,(3:1.6389,6:0.6052):0.6319):1.2685,(7:0.7651,(2:1.5606,8:1.1791):0.7564):0.9216);
((5:0.6998,(7:1.0128,(1:0.8818,2:2.1870):0.7175):0.5342):0.6908,(3:0.4862,6:0.9348):0.5556,(4:0.6260,8:0.7226):2.9508);
(8:0.6093,(1:0.6845,(3:1.3321,(2:1.2388,5:1.3466):0.6989):0.9479):0.8941,(4:1.1975,(6:0.8370,7:1.4016):0.6895):1.1222);
(4:0.8554,(6:1.1193,(2:0.7296,7:0.9479):1.0933):0.6398,(3:1.6330,(5:0.6306,(1:0.8366,8:0.8106):1.0211):1.6650):1.0177);
(7:0.9298,((1:0.6762,2:2.3551):0.7286,(4:0.6593,6:1.2034):0.8708):0.9146,(5:0.7509,(3:0.6166,8:1.1298):1.5027):0.6622);
(5:1.2179,((6:0.9703,(1:1.1743,8:1.2877):0.5880):0.9583,(2:0.6571,4:1.0021):0.6250):0.7558,(3:0.7278,7:2.0422):0.9936);
(8:1.0444,((1:0.7980,7:0.4957):1.8214,(3:0.4942,(4:1.8984,5:0.5316):1.2408):1.1714):0.9503,(2:0.9701,6:0.7515):0.8324);
(5:0.8318,((1:0.7298,(3:0.9884,6:0.6848):0.7545):0.7697,(4:1.3576,7:1.2698):0.8910):1.1463,(2:1.0077,8:0.6407):1.9280);
(2:0.5315,((1:1.1235,3:0.4585):0.6247,(5:0.8722,6:0.5680):0.6457):1.4564,(8:1.9572,(4:1.1948,7:1.0218):0.5411):2.0046);
((1:0.9261,(6:1.3404,7:0.9590):0.5899):0.8100,(2:1.1526,(4:1.1405,5:0.6029):0.8933):1.2885,(3:0.5554,8:1.4053):1.3360);
(4:1.0787,((3:0.4645,(1:0.9315,8:1.5035):1.8153):0.4648,(6:0.5158,7:0.7812):2.0841):0.4636,(2:1.5547,5:0.5566):0.7856);
((6:0.6403,(1:0.7915,4:0.6123):0.7453):1.1390,(3:0.7796,(2:1.0746,5:2.2793):1.6456):0.6165,(7:0.6498,8:1.0283):0.9979);
(8:1.3466,(4:1.2439,(1:0.8419,(5:0.6725,7:1.4315):1.5994):0.8982):0.7174,(6:0.7600,(2:1.3059,3:0.7974):0.5908):0.7944);
((7:1.0589,(1:0.9692,(2:0.7344,4:0.7474):1.7867):0.9659):0.6648,(3:1.4067,6:0.8889):0.7071,(5:1.1121,8:0.6442):1.3137);
(((2:0.7851,6:1.0301):0.8404,(1:1.4136,8:0.5443):2.2165):0.5622,(4:0.8275,5:1.1632):0.8245,(3:0.7547,7:0.5901):1.4479);
(2:0.5007,((1:0.6759,3:0.6506):0.5640,(4:0.6544,(5:0.9005,6:2.3713):0.7499):0.5047):1.2305,(7:0.6559,8:1.4972):2.0445);
(6:0.9490,((1:1.7559,(3:0.8493,4:0.9437):0.7508):0.8608,(2:1.9417,5:0.7699):0.8867):1.0071,(7:0.6760,8:0.8072):0.8019);
(6:0.7369,(3:0.9210,(4:1.0477,5:0.6737):0.8626):0.7438,(8:0.9275,(7:0.9167,(1:0.7683,2:2.2397):0.7085):1.1218):1.3319);
(4:0.9602,((3:0.8811,6:1.4507):1.0403,(1:1.2034,(2:1.1452,8:1.1227):0.6000):0.5725):0.6163,(5:1.6105,7:0.8574):0.9396);
(8:2.1552,((1:1.5633,(2:0.6834,7:0.5799):0.8062):0.9588,(5:0.5378,6:1.3717):1.1107):1.0265,(3:0.8460,4:0.7915):0.5690);
((1:0.5690,(2:0.5953,(5:0.9088,6:1.6984):1.0208):0.5893):0.9068,(3:0.6744,7:1.7701):1.0268,(4:1.4526,8:1.0644):0.7234);
(5:1.2431,(2:1.1058,(7:1.2404,(1:0.6781,6:1.0638):1.1447):0.5813):1.2331,(4:0.5369,(3:0.8326,8:0.6549):2.0877):0.5978);
