(8:1.8374,((1:0.7877,6:0.8595):0.6610,(2:0.5855,(4:1.3859,7:1.1496):0.9233):1.0656):1.0167,(3:0.8454,5:0.8711):1.0112);
(4:0.7717,(1:0.6795,(6:1.2207,(3:1.6643,5:1.5782):0.7105):0.8146):1.4723,(8:0.6753,(2:0.6842,7:0.6979):1.0858):0.9449);
(4:0.9187,((1:0.5612,3:1.4427):0.6038,(2:1.2042,(5:1.8352,7:0.5751):0.7446):0.9056):0.6246,(6:0.5807,8:0.6045):2.3990);
(3:1.1285,(7:1.4759,(1:0.7460,(2:0.9434,8:1.5107):0.7342):1.8595):0.6394,(4:1.0553,(5:0.5735,6:0.8581):0.5034):0.9720);
(6:1.3350,(4:0.9646,(2:0.7391,(1:0.7270,7:0.7827):1.0177):1.1080):1.0665,(3:0.7846,(5:1.3008,8:0.6953):1.2346):1.2443);
(6:0.7352,(2:0.8723,(8:0.7292,(1:1.3567,7:1.4274):0.8459):1.1160):0.8323,(5:0.6814,(3:0.7812,4:1.8642):0.7975):0.9609);
(7:1.0005,((5:1.0970,(3:0.8681,6:0.6929):0.5714):0.9318,(1:0.8430,8:0.7224):0.7384):1.2071,(2:1.6064,4:1.7597):0.9614);
(8:0.6767,(3:0.7708,(1:0.9028,(2:2.0483,5:1.1898):1.1968):0.6257):0.9008,(4:0.8545,(6:1.4152,7:0.7596):0.7511):0.9080);
(8:2.1645,(1:0.9331,(4:0.6126,(3:1.0034,7:0.5662):0.8621):1.0581):1.1971,(5:0.7838,(2:0.8801,6:0.9342):1.4065):0.5982);
(2:1.6485,((1:0.7911,(5:1.1238,6:0.6651):0.4906):0.5314,(3:0.7007,4:3.4781):0.5565):0.7846,(7:0.6357,8:0.6822):0.9118);
(5:1.0001,(3:0.6910,(8:0.8260,(1:0.9119,7:0.5637):0.6086):0.8266):0.7152,(6:2.3903,(2:0.7798,4:1.7092):1.4076):0.5701);
(5:1.3369,(4:0.8014,(3:0.5665,(1:0.6407,7:0.5982):0.7189):1.4000):1.1688,(6:0.7436,(2:1.1519,8:1.7490):1.3498):0.7744);
(6:0.8637,(3:1.2202,(1:0.6734,(4:0.5890,5:0.9440):0.7156):1.1975):0.5627,(7:2.3298,(2:0.6979,8:0.4845):0.9867):1.7347);
(2:0.6196,(7:0.6807,(8:1.2467,(1:1.0357,6:0.5985):1.0659):0.9095):1.1053,(5:0.7946,(3:1.2829,4:0.7750):0.7324):2.1532);
(6:0.7340,(4:0.7032,(3:1.2819,5:0.8962):1.0733):0.9710,(7:1.2476,(2:1.0465,(1:1.2966,8:0.7902):0.8842):0.7912):1.2842);
(2:1.2170,(4:0.8102,(8:0.9146,(1:1.5734,7:1.3410):0.9051):0.7762):0.8803,(6:0.8667,(3:0.5849,5:1.4396):0.8774):0.8136);
(3:1.9578,(7:0.7299,(2:1.1992,(1:0.8256,5:0.9556):0.6136):1.5909):1.0331,(6:0.7569,(4:0.6982,8:0.9043):0.7953):0.9397);
(8:0.7792,((1:0.8620,4:0.9871):1.4064,(5:0.9568,7:0.6181):0.9428):0.9177,(3:1.1607,(2:1.7858,6:0.9349):1.0979):0.5506);
(3:0.6597,((1:0.8392,5:2.3459):0.7890,(2:0.8335,7:0.6663):2.4371):0.7979,(6:0.7414,(4:0.7450,8:0.7734):0.7399):0.6316);
(6:0.6351,(3:0.5853,(8:1.0289,(1:0.8087,2:1.1503):0.6833):0.5358):1.0079,(7:1.6873,(4:1.1807,5:1.4071):1.1270):1.1628);
(4:0.8887,(7:1.7333,(3:0.9586,5:1.2213):0.6845):1.5108,(1:0.6950,(2:0.5772,(6:0.7807,8:0.6764):1.3433):0.9278):1.0025);
((2:0.7120,(8:1.3570,(1:1.0547,3:0.7485):2.0564):0.8052):0.6648,(5:1.2415,7:0.6971):0.6950,(4:0.9312,6:0.9569):1.0797);
((6:0.5580,(1:0.9609,(3:0.7767,7:0.5853):1.0514):2.3730):1.3419,(2:0.7592,5:0.8778):1.0854,(4:1.0890,8:0.8618):0.6796);
(7:0.7117,((1:0.9423,4:0.6551):1.2059,(2:0.5906,(3:0.9950,5:0.6637):0.6982):1.4381):1.2099,(6:1.8039,8:1.2245):0.8610);
(5:1.0004,(2:0.8732,(3:0.9779,6:1.2731):0.7056):1.1912,(4:1.3521,(8:0.7067,(1:1.0362,7:0.6338):1.8250):0.7810):0.6437);
(2:0.8211,((1:0.7503,(4:1.4068,5:1.1310):0.8448):0.8354,(6:0.8470,7:0.8297):1.4642):0.7217,(3:0.7656,8:1.0365):1.5459);
(4:2.4693,((3:1.0756,7:0.5750):0.9687,(1:0.5025,8:1.4573):0.4902):0.5862,(2:2.1360,(5:0.5476,6:0.8015):0.6303):0.7598);
(2:0.7293,((7:1.5950,(1:0.9927,4:0.6674):0.9744):1.8370,(3:1.0131,5:0.9056):0.8961):1.0502,(6:0.7381,8:0.8557):0.7455);
(7:0.8287,(3:0.6362,(6:0.9202,(1:0.9781,4:1.2458):1.1289):0.8713):0.6368,(2:0.9096,(5:1.7110,8:0.9168):1.5690):0.6477);
(4:0.7155,(7:0.5773,(2:1.4283,6:0.6362):1.1659):1.0236,(1:0.9096,(5:1.2344,(3:1.8684,8:0.6489):0.7947):1.5260):0.4711);
(((1:0.7530,5:1.6287):0.5783,(2:0.6721,6:1.3751):0.6693):0.7719,(3:1.3126,7:0.8186):0.9825,(4:1.6785,8:1.0127):0.7465);
(3:0.5300,((1:0.5858,5:1.2077):0.5980,(7:1.6086,(2:0.6230,6:0.7359):1.2339):1.2115):1.8741,(4:0.7212,8:0.7929):1.2777);
(6:0.5411,(3:2.1758,(2:0.9879,(1:0.5407,8:2.0899):1.1013):0.7040):0.8974,(4:0.8567,(5:0.7284,7:0.6603):0.8878):0.8286);
(8:0.7247,((1:0.9893,3:0.6643):0.8147,(6:0.8172,(4:1.0923,5:1.4273):1.0668):1.3601):0.6933,(2:1.1740,7:1.5152):0.6608);
(4:1.0684,(6:0.7122,(8:1.5640,(1:0.7180,7:1.3137):0.7760):1.0237):1.0930,(2:1.0534,(3:0.6667,5:0.7771):1.0623):1.1715);
(2:0.9237,(5:0.9175,(3:1.1527,4:0.6546):0.8238):0.8883,(1:0.8933,(7:1.4048,(6:0.7701,8:0.9695):0.9901):1.4355):1.1762);
(5:0.6619,(6:0.8869,(3:2.7088,4:0.7269):0.7066):0.7217,((1:0.7149,7:0.9841):0.7835,(2:0.8267,8:1.3641):0.9560):0.9578);
(3:1.1148,(7:0.8635,(2:0.8451,5:1.0330):0.6923):0.9399,(1:1.9468,(4:0.8065,(6:0.8435,8:0.8728):1.1734):1.0064):0.8619);
(5:1.2408,(2:0.6366,(4:1.7279,(1:0.6081,3:0.6465):0.7971):1.5530):0.7876,(7:0.6800,(6:0.5322,8:1.4613):0.5496):1.7792);
(5:2.0349,(7:0.4875,(2:0.9458,(1:0.7651,6:0.5484):1.4065):0.6168):0.8888,(3:1.9507,(4:0.5270,8:0.5739):0.5367):1.7181);
(8:0.7353,(5:0.5327,(1:1.5211,(3:0.9969,7:0.5394):1.6825):1.2742):1.7667,(2:0.7589,(4:0.6944,6:0.5979):1.1304):0.7695);
(8:1.2171,((1:1.0325,(3:0.9770,4:0.6265):0.7365):0.8010,(2:0.5737,7:1.5027):1.1867):0.6344,(5:0.5928,6:1.4729):1.6462);
((3:1.0146,(2:0.7181,(1:1.1666,7:1.2963):1.0812):0.7159):0.6029,(4:1.4045,6:1.0290):1.1364,(5:1.2857,8:0.8551):0.6938);
(6:1.1087,((1:0.7386,2:0.5969):0.6740,(3:1.8286,7:0.5273):0.7198):1.0083,(4:0.7293,(5:1.4295,8:1.7041):0.9530):0.9819);
(8:0.7976,((1:0.6004,6:0.7323):1.3753,(5:0.6837,7:0.7533):0.8320):0.9077,(2:1.6964,(3:1.9343,4:1.1268):0.6665):0.8938);
((3:0.7262,(7:1.1578,(1:1.2106,4:1.6013):0.6908):0.8009):0.6752,(2:1.2064,5:0.9679):1.5874,(6:0.5702,8:1.1601):0.6453);
(8:0.7791,(7:0.7541,(5:1.0760,(1:0.6423,6:1.7844):1.1924):1.5455):0.6663,(2:0.6677,(3:0.6726,4:1.0846):0.6720):1.4631);
((2:1.1448,(1:0.5250,3:0.5484):1.0435):1.0611,(6:0.8651,(4:0.6094,7:1.6394):1.6988):0.7844,(5:1.1266,8:1.1448):0.8088);
(4:1.2063,(2:0.8465,(3:0.9607,5:1.1621):1.1334):0.7627,((1:0.6369,7:0.7697):1.5106,(6:1.7059,8:0.9429):0.6838):0.6783);
(3:0.5119,((6:1.2954,7:0.5861):1.2373,(1:2.0193,(2:1.5585,8:1.0936):0.7868):0.7815):0.6620,(4:0.5888,5:1.0544):0.8244);
(8:0.7109,(3:0.6790,(1:1.3488,(4:0.8281,6:1.4073):0.8129):0.9800):0.6259,(2:1.0479,(5:0.6826,7:1.4924):1.4862):0.8979);
(5:2.1622,(6:0.8418,(3:0.6890,(1:0.9361,7:0.8006):0.7536):1.5975):0.6879,(4:0.7266,(2:1.2971,8:0.7983):0.8901):0.8192);
((5:1.2678,(2:0.6475,(1:1.0115,8:0.7270):0.6520):1.8782):0.6891,(3:0.8926,7:0.6488):0.8853,(4:1.2079,6:1.2165):1.2758);
